date,variable,value
2010-01-01,industrial_production,100.52461853390854
2010-01-01,retail_sales_nominal,101.99748945687931
2010-01-01,ipc,94.63098423596156
2010-02-01,industrial_production,97.35670755305995
2010-02-01,retail_sales_nominal,99.16700376599852
2010-02-01,ipc,98.19401704373406
2010-03-01,industrial_production,108.02802070226761
2010-03-01,retail_sales_nominal,105.2443919520349
2010-03-01,ipc,103.5084210317804
2010-04-01,industrial_production,105.03384528657348
2010-04-01,retail_sales_nominal,93.16600370448147
2010-04-01,ipc,100.02679674171333
2010-05-01,industrial_production,93.97250120559936
2010-05-01,retail_sales_nominal,100.8841889011558
2010-05-01,ipc,105.6558484018508
2010-06-01,industrial_production,101.12255301147361
2010-06-01,retail_sales_nominal,86.65483934532034
2010-06-01,ipc,97.19426065219618
2010-07-01,industrial_production,107.28809077588167
2010-07-01,retail_sales_nominal,95.5260675249372
2010-07-01,ipc,99.0643601672057
2010-08-01,industrial_production,103.01725118253881
2010-08-01,retail_sales_nominal,102.11889831898222
2010-08-01,ipc,108.27210294024901
2010-09-01,industrial_production,92.28878085836875
2010-09-01,retail_sales_nominal,98.54260225778954
2010-09-01,ipc,112.82699803384429
2010-10-01,industrial_production,102.56821515353101
2010-10-01,retail_sales_nominal,105.78436067873254
2010-10-01,ipc,102.34762301277404
2010-11-01,industrial_production,97.65417448210638
2010-11-01,retail_sales_nominal,100.5619975756255
2010-11-01,ipc,95.52354819563068
2010-12-01,industrial_production,95.08700302338747
2010-12-01,retail_sales_nominal,91.61738090669917
2010-12-01,ipc,87.85684099601625
2011-01-01,industrial_production,100.58148418439087
2011-01-01,retail_sales_nominal,105.42880104946107
2011-01-01,ipc,104.21931388347436
2011-02-01,industrial_production,106.5341580510915
2011-02-01,retail_sales_nominal,103.56427879478028
2011-02-01,ipc,101.84763468142164
2011-03-01,industrial_production,100.6172665184614
2011-03-01,retail_sales_nominal,104.68155706193141
2011-03-01,ipc,108.14081462934753
2011-04-01,industrial_production,101.78479946446117
2011-04-01,retail_sales_nominal,94.4745781703992
2011-04-01,ipc,95.80261008701716
2011-05-01,industrial_production,108.26233295523275
2011-05-01,retail_sales_nominal,93.16404971744801
2011-05-01,ipc,109.51357039194104
2011-06-01,industrial_production,95.74068104323838
